"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICIBANK","EQ","22-Apr-2020","        331.85","        326.00","        338.00","        323.05","        336.50","        335.95","        330.79","   49115661","         16246999523.00","     470641","    8929162","         18.18"
"ICICIBANK","EQ","23-Apr-2020","        335.95","        340.25","        354.80","        338.00","        350.80","        352.95","        347.48","   45953483","         15968139039.60","     413227","   11223941","         24.42"
"ICICIBANK","EQ","24-Apr-2020","        352.95","        337.90","        343.25","        331.50","        337.05","        334.85","        337.01","   38513311","         12979357489.20","     414126","   10567552","         27.44"
"ICICIBANK","EQ","27-Apr-2020","        334.85","        339.30","        352.90","        338.00","        346.30","        347.90","        346.35","   38981101","         13501080399.80","     344753","   12387917","         31.78"
"ICICIBANK","EQ","28-Apr-2020","        347.90","        353.75","        362.85","        350.25","        361.00","        359.85","        357.20","   32934538","         11764158548.60","     290804","    9305910","         28.26"
"ICICIBANK","EQ","29-Apr-2020","        359.85","        353.00","        376.50","        351.65","        367.65","        370.45","        364.58","   39342166","         14343285870.45","     415320","   10509163","         26.71"
"ICICIBANK","EQ","30-Apr-2020","        370.45","        382.00","        392.95","        374.15","        377.70","        380.15","        384.03","   45735197","         17563849150.60","     413914","   13787089","         30.15"
"ICICIBANK","EQ","04-May-2020","        380.15","        359.00","        359.00","        336.00","        340.00","        338.05","        344.06","   38837866","         13362584630.45","     619031","   16659042","         42.89"
"ICICIBANK","EQ","05-May-2020","        338.05","        348.00","        348.00","        329.55","        332.00","        330.85","        339.92","   45071600","         15320719949.85","     413360","   11783573","         26.14"
"ICICIBANK","EQ","06-May-2020","        330.85","        331.50","        345.55","        325.25","        342.80","        341.40","        338.49","   49953121","         16908540303.00","     447408","   10790619","         21.60"
"ICICIBANK","EQ","07-May-2020","        341.40","        337.00","        342.90","        333.70","        337.90","        336.75","        338.15","   27657193","          9352185697.05","     251905","    8274614","         29.92"
"ICICIBANK","EQ","08-May-2020","        336.75","        344.00","        352.50","        333.70","        335.65","        337.70","        345.29","   42970794","         14837257993.10","     383834","   11404524","         26.54"
"ICICIBANK","EQ","11-May-2020","        337.70","        341.00","        343.55","        318.20","        322.10","        320.15","        329.10","   83666044","         27534147821.15","     824877","   25156605","         30.07"
"ICICIBANK","EQ","12-May-2020","        320.15","        318.30","        324.40","        308.00","        322.80","        321.20","        314.78","   69072372","         21742502518.65","     624472","   20117447","         29.13"
"ICICIBANK","EQ","13-May-2020","        321.20","        343.50","        348.40","        332.30","        337.20","        338.05","        340.48","   72818140","         24793293174.25","     679918","   23323711","         32.03"
"ICICIBANK","EQ","14-May-2020","        338.05","        330.00","        334.50","        325.65","        327.50","        327.40","        328.85","   33999679","         11180881566.00","     312099","    8106832","         23.84"
"ICICIBANK","EQ","15-May-2020","        327.40","        329.30","        330.55","        318.80","        322.00","        322.70","        321.66","   31829841","         10238396049.00","     358099","    7401923","         23.25"
"ICICIBANK","EQ","18-May-2020","        322.70","        320.00","        320.50","        293.25","        300.60","        298.50","        301.15","   74034470","         22295591955.00","     685127","   26767293","         36.16"
"ICICIBANK","EQ","19-May-2020","        298.50","        307.05","        311.50","        297.10","        300.80","        300.30","        303.93","   61828639","         18791399514.25","     490924","   17004256","         27.50"
"ICICIBANK","EQ","20-May-2020","        300.30","        299.00","        308.25","        297.50","        307.00","        305.65","        302.96","   42239472","         12796973329.15","     348560","   10626620","         25.16"
"ICICIBANK","EQ","21-May-2020","        305.65","        306.00","        312.80","        302.00","        304.10","        304.40","        307.94","   43076017","         13264723233.80","     331641","   11922114","         27.68"
"ICICIBANK","EQ","22-May-2020","        304.40","        301.00","        307.70","        285.55","        292.40","        291.05","        292.56","   80359014","         23509585135.70","     618533","   28347870","         35.28"
"ICICIBANK","EQ","26-May-2020","        291.05","        296.05","        297.90","        290.00","        293.90","        292.70","        293.60","   46684636","         13706479093.15","     395358","   21277791","         45.58"
"ICICIBANK","EQ","27-May-2020","        292.70","        296.10","        321.95","        294.85","        318.90","        318.85","        309.63","   80543561","         24938606377.60","     576076","   22672214","         28.15"
"ICICIBANK","EQ","28-May-2020","        318.85","        322.25","        329.75","        320.75","        325.75","        326.85","        325.76","   66136528","         21544769505.05","     516589","   22633045","         34.22"
"ICICIBANK","EQ","29-May-2020","        326.85","        322.90","        334.30","        320.00","        330.00","        331.95","        327.02","   60488688","         19781024447.25","     411098","   24938469","         41.23"
"ICICIBANK","EQ","01-Jun-2020","        331.95","        339.00","        348.00","        336.20","        337.85","        339.25","        342.99","   44025817","         15100281962.90","     379479","   14279838","         32.44"
"ICICIBANK","EQ","02-Jun-2020","        339.25","        337.00","        350.00","        332.50","        349.00","        348.40","        342.85","   47558564","         16305388892.80","     373966","   13546527","         28.48"
"ICICIBANK","EQ","03-Jun-2020","        348.40","        357.90","        373.00","        353.80","        357.50","        356.85","        364.19","   69689849","         25380087019.40","     565060","   21005817","         30.14"
"ICICIBANK","EQ","04-Jun-2020","        356.85","        357.00","        363.00","        345.50","        348.20","        347.85","        352.31","   57061955","         20103482595.05","     426171","   16454349","         28.84"
"ICICIBANK","EQ","05-Jun-2020","        347.85","        350.00","        360.00","        347.00","        359.80","        357.20","        352.85","   37251290","         13144122261.35","     284472","    8065873","         21.65"
"ICICIBANK","EQ","08-Jun-2020","        357.20","        366.55","        373.75","        353.15","        361.00","        359.80","        364.08","   46827650","         17049070977.75","     391117","   11947272","         25.51"
"ICICIBANK","EQ","09-Jun-2020","        359.80","        360.05","        369.35","        345.25","        346.30","        348.55","        358.88","   47622914","         17091016711.35","     349317","   12332422","         25.90"
"ICICIBANK","EQ","10-Jun-2020","        348.55","        348.55","        356.85","        345.30","        356.45","        353.00","        350.18","   36292503","         12708994586.05","     274845","    6812421","         18.77"
"ICICIBANK","EQ","11-Jun-2020","        353.00","        352.45","        354.20","        340.10","        341.75","        341.25","        345.99","   37000065","         12801503450.40","     303813","    7245337","         19.58"
"ICICIBANK","EQ","12-Jun-2020","        341.25","        324.20","        346.15","        324.10","        343.00","        344.20","        335.33","   47509639","         15931308263.85","     354357","    7794559","         16.41"
"ICICIBANK","EQ","15-Jun-2020","        344.20","        341.20","        342.25","        325.50","        331.15","        331.10","        331.04","   43501834","         14400917307.60","     366416","   11346392","         26.08"
"ICICIBANK","EQ","16-Jun-2020","        331.10","        342.25","        347.90","        326.05","        342.40","        342.95","        340.09","   57511276","         19559192030.60","     394321","   12708900","         22.10"
"ICICIBANK","EQ","17-Jun-2020","        342.95","        338.60","        351.00","        336.10","        342.25","        341.95","        344.29","   37107569","         12775830573.00","     289654","    5808211","         15.65"
"ICICIBANK","EQ","18-Jun-2020","        341.95","        340.00","        354.70","        337.20","        351.40","        352.00","        345.65","   39286577","         13579324191.95","     292023","    9308611","         23.69"
"ICICIBANK","EQ","19-Jun-2020","        352.00","        351.00","        365.45","        349.20","        363.80","        363.80","        358.50","   51368058","         18415478184.65","     372416","   17230917","         33.54"
"ICICIBANK","EQ","22-Jun-2020","        363.80","        367.00","        375.25","        365.15","        367.85","        367.55","        370.66","   40135946","         14876915715.10","     309083","   10268267","         25.58"
"ICICIBANK","EQ","23-Jun-2020","        367.55","        369.00","        378.30","        364.20","        376.05","        376.15","        370.40","   32495431","         12036276857.05","     271367","    4289114","         35.88"
"ICICIBANK","EQ","24-Jun-2020","        376.15","        380.00","        380.00","        345.00","        349.35","        348.10","        361.91","   57956306","         20975015027.95","     483886","   18003050","         31.06"
"ICICIBANK","EQ","25-Jun-2020","        348.10","        345.90","        355.60","        338.50","        350.50","        351.00","        348.84","   69905394","         24385685691.65","     474435","   18395307","         26.31"
"ICICIBANK","EQ","26-Jun-2020","        351.00","        355.60","        358.50","        346.10","        351.00","        349.10","        351.33","   34596718","         12154960573.75","     284738","    7597920","         21.96"
"ICICIBANK","EQ","29-Jun-2020","        349.10","        345.25","        345.60","        338.50","        342.50","        343.10","        341.61","   27385252","          9355210283.05","     265578","    5988934","         21.87"
"ICICIBANK","EQ","30-Jun-2020","        343.10","        347.00","        354.45","        346.30","        352.00","        351.45","        351.65","   47526205","         16712652154.25","     325118","   19112695","         40.22"
"ICICIBANK","EQ","01-Jul-2020","        351.45","        354.25","        365.75","        351.60","        362.40","        364.05","        359.56","   36922717","         13276046897.25","     306855","    9466982","         25.64"
"ICICIBANK","EQ","02-Jul-2020","        364.05","        366.00","        370.90","        361.35","        363.60","        362.85","        366.80","   50964872","         18694105759.85","     305451","   17514318","         34.37"
"ICICIBANK","EQ","03-Jul-2020","        362.85","        364.65","        367.15","        359.80","        360.80","        361.00","        363.13","   28779331","         10450640286.00","     208640","    6423258","         22.32"
"ICICIBANK","EQ","06-Jul-2020","        361.00","        367.85","        367.85","        360.50","        362.40","        361.85","        362.93","   33334119","         12098052508.65","     259942","   11196188","         33.59"
"ICICIBANK","EQ","07-Jul-2020","        361.85","        363.00","        378.00","        362.10","        374.60","        376.05","        370.97","   46031349","         17076408916.80","     338605","   10677118","         23.20"
"ICICIBANK","EQ","08-Jul-2020","        376.05","        377.90","        379.00","        367.55","        368.60","        368.95","        374.60","   46317703","         17350791189.45","     334871","   14484540","         31.27"
"ICICIBANK","EQ","09-Jul-2020","        368.95","        373.45","        376.00","        365.30","        371.75","        370.35","        370.37","   35144717","         13016722138.10","     252469","    8606541","         24.49"
"ICICIBANK","EQ","10-Jul-2020","        370.35","        364.90","        368.20","        359.00","        359.90","        360.35","        363.19","   27865749","         10120560057.65","     280327","    8968070","         32.18"
"ICICIBANK","EQ","13-Jul-2020","        360.35","        364.10","        367.00","        352.50","        354.15","        353.60","        357.86","   32379950","         11587642125.05","     230035","   13678602","         42.24"
"ICICIBANK","EQ","14-Jul-2020","        353.60","        351.50","        352.45","        340.60","        346.05","        345.55","        346.56","   34033233","         11794606533.70","     297220","   10734608","         31.54"
"ICICIBANK","EQ","15-Jul-2020","        345.55","        349.50","        356.80","        343.75","        347.90","        345.80","        351.27","   30442572","         10693660344.80","     222113","    6818569","         22.40"
"ICICIBANK","EQ","16-Jul-2020","        345.80","        347.95","        348.60","        341.00","        344.85","        344.65","        344.69","   35536953","         12249319563.85","     220076","   14030011","         39.48"
"ICICIBANK","EQ","17-Jul-2020","        344.65","        346.00","        356.00","        345.45","        354.60","        353.80","        349.78","   27511987","          9623202594.30","     200767","    6064780","         22.04"
"ICICIBANK","EQ","20-Jul-2020","        353.80","        358.00","        366.35","        355.25","        362.10","        363.00","        362.86","   36313319","         13176547255.65","     267593","   10180861","         28.04"
"ICICIBANK","EQ","21-Jul-2020","        363.00","        371.00","        379.90","        370.05","        378.90","        378.80","        375.06","   45560259","         17087957100.55","     360866","   15145405","         33.24"
"ICICIBANK","EQ","22-Jul-2020","        378.80","        386.90","        389.50","        375.30","        381.80","        381.10","        382.03","   45500596","         17382728483.75","     319065","   12983689","         28.54"
"ICICIBANK","EQ","23-Jul-2020","        381.10","        382.55","        395.65","        378.85","        394.80","        392.25","        385.46","   37838253","         14585160124.60","     269191","   10344242","         27.34"
